id,value,color
Root
Root.heart
Root.heart.1190290,0.1,#19a3cb
Root.heart.1177939,0.1,#19a3cb
Root.heart.5002026,0.482272727273,#7acae1
Root.heart.1182236,0.571428571429,#91d3e6
Root.heart.1199595,0.4,#66c1dc
Root.heart.1200084,0.463147566719,#76c8e0
Root.heart.1200089,0.477083333333,#79c9e1
Root.heart.5009216,0.1,#19a3cb
Root.heart.5000689,0.280555555556,#47b5d5
Root.heart.1199683,0.1,#19a3cb
Root.heart.5001654,0.1,#19a3cb
Root.heart.5003325,0.55,#8cd1e5
Root.heart.1200366,0.466666666667,#76c8e0
Root.heart.5005070,0.1125,#1ca4cc
Root.heart.5001672,0.43,#6dc4de
Root.heart.5001843,0.615384615385,#9cd7e9
Root.heart.5004706,0.722222222222,#b8e2ef
Root.heart.1174106,0.333333333333,#55bbd9
Root.heart.1198033,0.520833333333,#84cee3
Root.heart.1198523,0.321428571429,#51b9d8
Root.heart.1180327,0.1,#19a3cb
Root.heart.1180327,0.1,#19a3cb
Root.heart.1190290,0.1,#19a3cb
Root.heart.1195157,0.545952380952,#8bd0e5
Root.pain
Root.pain.1200347,0.1,#742776
Root.pain.5005263,0.482936507937,#af83b0
Root.pain.1176182,0.1,#742776
Root.pain.1200374,0.474537037037,#ae81af
Root.pain.5007652,0.367023809524,#9d679e
Root.pain.5005067,0.72806122449,#d5bed5
Root.pain.5000492,0.483,#af83b0
Root.pain.5003808,0.413591269841,#a472a5
Root.pain.1196417,0.1,#742776
Root.pain.1199559,0.397402597403,#a26ea3
Root.pain.1200300,0.415,#a473a6
Root.pain.1199589,0.5,#b287b3
Root.pain.5000186,0.690571428571,#cfb5cf
Root.pain.1198617,0.53343962585,#b78fb8
Root.pain.1198625,0.398342175066,#a26fa3
Root.pain.1198626,0.6,#c19fc2
Root.pain.1199415,0.485833333333,#af84b0
Root.pain.5000473,0.5,#b287b3
Root.pain.1200096,0.1,#742776
Root.pain.1199859,0.1,#742776
Root.pain.1180661,0.1,#742776
Root.pain.5000186,0.690571428571,#cfb5cf
Root.pain.1200347,0.1,#742776
Root.infection
Root.infection.5000991,0.580116959064,#a8bdd2
Root.infection.5001801,0.283333333333,#6b8fb3
Root.infection.5003781,0.1,#45729f
Root.infection.2000021,0.277777777778,#6a8eb2
Root.infection.1198624,0.586882716049,#a9bed3
Root.infection.1200087,0.471354166667,#92acc6
Root.infection.1200357,0.461274509804,#90aac5
Root.infection.1199950,0.1,#45729f
Root.infection.1200000,0.4,#83a1bf
Root.infection.1199210,0.444642857143,#8ca8c4
Root.infection.5002056,0.471904761905,#92acc7
Root.lung_liver
Root.lung_liver.5008403,0.328571428571,#b15858
Root.lung_liver.1199079,0.1,#961f1f
Root.lung_liver.1200377,0.534523809524,#c98b8b
Root.lung_liver.1199949,0.1,#961f1f
Root.lung_liver.5002056,0.471904761905,#c17c7c
Root.women_related
Root.women_related.1189739,0.1,#ff2b9d
Root.women_related.1200372,0.260606060606,#ff51af
Root.women_related.1200375,0.456845238095,#ff7fc4
Root.women_related.5008989,0.68,#ffb3dc
Root.women_related.5007727,0.535714285714,#ff91cc
Root.women_related.1176183,0.540379008746,#ff92cd
Root.women_related.1174106,0.333333333333,#ff62b7
Root.muscle
Root.muscle.5002056,0.471904761905,#f1b578
Root.muscle.1198616,0.565424430642,#f4c290
Root.muscle.5002056,0.471904761905,#f1b578
Root.diabetes
Root.diabetes.5000186,0.690571428571,#cfbfef
Root.diabetes.1199596,0.4915,#b197e5
Root.diabetes.5000186,0.690571428571,#cfbfef
Root.diabetes.1195157,0.545952380952,#b9a2e7
Root.diabetes.2000092,0.45,#aa8ee2
Root.diabetes.5008459,0.410714285714,#a486e0
Root.diabetes.5005009,0.625,#c5b2eb
Root.diabetes.1198615,0.6,#c1adea
Root.diabetes.1199416,0.436810699588,#a88ce2
Root.diabetes.1199435,0.478571428571,#af94e4
Root.diabetes.5000186,0.690571428571,#cfbfef
Root.diabetes.1180327,0.1,#7547d1
Root.diabetes.1180624,0.2,#845bd6